,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
33,PIZZA HUT必勝客-三重三和店,ChIJ1YnJsNeoQjQRoTCFeOegn34,25.077889,121.489511,3.6,305,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",三重區自強路四段48號
35,達美樂三重自強店,ChIJ7eEZ_eGoQjQR9_sxmcIT6Bc,25.0750456,121.4876127,3.9,78,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",三重區自強路三段97號1樓
36,八方雲集 (三重大智店),ChIJKbhV9tioQjQRzGFjRvF_s6o,25.0729732,121.4893782,3.1,116,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區大智街240號格致高中附近
37,肯德基 KFC - 三重三和餐廳,ChIJX8C9W9CoQjQR_A-at7y8yP0,25.0792856,121.4822599,4,1214,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區三和路四段193號
41,八方雲集 (蘆洲集賢店),ChIJ87kh-NKoQjQRDMR33r-hkN4,25.0842097,121.4809756,3.3,162,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區集賢路344號
44,摩斯漢堡徐匯店,ChIJfUAQO9CoQjQRMo0hJJlwKKk,25.0797541,121.4809749,4,612,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區三和路四段408號
46,麥當勞-三重三和店,ChIJMaoCeiGpQjQRAzeR_OtETBM,25.079245,121.4817555,4,2157,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區三和路四段392-1號
47,拿坡里披薩 蘆洲店,ChIJX7oI9cioQjQR2PCG0cQTD5I,25.0819551,121.4753951,4,394,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區中山二路12號
50,PIZZA Hut 必勝客-蘆洲復興店,ChIJEZsB8cyoQjQRtR9-h0GcRTg,25.0873871,121.4761578,3.8,202,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區復興路73號
51,八方雲集鍋貼水餃專賣店(蘆洲復興店),ChIJJ9VxPEipQjQRAyhNRkQoadU,25.0867456,121.4755442,3.7,135,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 88號, Fuxing Road, Luzhou District"
55,肯德基KFC-蘆洲三民餐廳,ChIJfW90X7WoQjQRmV-vF0SiFyg,25.0872688,121.4715118,3.8,1833,"['restaurant', 'food', 'point_of_interest', 'establishment']",蘆洲區三民路116號
